"date_of_notice","card_date","month_year","date_of_notice_additional_info","event_number","rapid_response_specialist","reason_stated_for_filing","company","address","location","county","wdb_name","region","contact","phone","business_type","number_affected","raw_number_affected","rescission_amend","total_employees","raw_total_employees","not_affected","layoff_date","closing_date","reason_for_dislocation","fein_num","union","classification_and_additional_info"
"2022-10-11","October 11, 2022","October 2022",NA,"2022-0039","Frederick Danks","Plant Closing","Radienz Living, LLC","","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Kathy Russell, Chief Human Resources Officer","(631) 952-0100 Ext: 3107","Disinfectant wipes and floor wipes business","145",145,145,"145",145,0,"The first separation of more than one employee will occur on January 15, 2023 and the other separations are expected to occur between January 31, 2023 through July 31, 2023.",NA,"Economic","----","The employees are not represented by a union.","Plant Closing Radienz Living, LLC sites: 105 Emjay Blvd, Brentwood, New York 11717 (88 employees affected) 445 Broad Hollow Rd., Melville, NY 11747 (44 employees affected) 110 Emjay Blvd, Brentwood, NY 11717 (13 employees affected)"
"2022-10-11","October 11, 2022","October 2022",NA,"2022-0038","Stuart Goldberg","Plant Closing","HHC 33 Peck Slip Holdings, LLC d/b/a Mr. C Seaport Hotel","33 Peck Slip","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Edoardo Minoli, General Manager","(347) 574-5388","Hotel","80",80,80,"80",80,0,"Separations for 80 employees will occur beginning on January 9, 2023, or the 14- day period commencing on that date.","January 9, 2023","Selling Mr. C Seaport Hotel to Sono Hospitality, LLC","----","Local 966, International Brotherhood of Teamsters","Plant Closing"
"2022-10-06","October 6, 2022","October 2022",NA,"2022-0036","Stuart Goldberg","Plant Closing","Patina BBG, LLC at Brooklyn Botanic Garden","990 Washington Ave",NA,NA,NA,NA,"Maria Scioli, Human Resources Manager","(781) 250-7039","Catering","69",69,69,"69",69,0,"Separations for 69 employees will occur during the 14-day period commencing January 15, 2023.","----","Contract not renewed","46-5762239","The employees are not represented by a union.","Plant Closing"
"2022-09-30","September 30, 2022","September 2022",NA,"2022-0035","Stuart Goldberg","Plant Closing","HMS Host","John F. Kennedy International Airport, Terminal 8","Queens |Wdb Name: New York City | Region: New York City","Queens","New York City","New York City","Eleni Makris, Field HR Business Partner","(347) 276-1491","Travel Dining Services","155",155,155,"155",155,0,"Separations for 155 employees will occur starting January 1, 2023. All impacted workers have been offered jobs to work with Sodexo before January 1, 2023. The layoffs at HMS Host are expected to be permanent.","1/1/2023","Contract will be transferred to Sodexo on December 1, 2022","----","UNITE H.E.R.E. LOCAL 100","Plant Closing"
"2022-09-29","September 29, 2022","September 2022",NA,"2022-0034","Jason Kirchhoff","Plant Layoff","Intergrow Greenhouses Inc. d/b/a Fillmore Greenhouses","11589 NY-19A","Wyoming |Wdb Name: Glow | Region: Finger Lakes Region","Wyoming","Glow","Finger Lakes Region","Allison Schoolcraft, HR Manager","(585) 682-6319","Food Crops","53",53,53,"----",NA,NA,"Separations for 53 employees will occur on December 31, 2022. The layoffs at Intergrow Greenhouses Inc. are expected to be permanent.","----","Economic- Low production","43-2037073","The employees are not represented by a union.","Plant Layoff"
"2022-09-29","September 29, 2022","September 2022",NA,"2022-0029","Stuart Goldberg","Plant Closing","Sheltering Arms Children Family Services","","Queens, New York, Bronx |Wdb Name: New York City | Region: New York City","Queens, New York, Bronx","New York City","New York City","Elizabeth McCarthy, Chief Executive Officer","(212) 886-5601","Child Day Care Services","105 (total employees at all sites)",105,105,"105",105,0,"The closure of the early childhood programs at multiple locations is expected to be permanent. All employees will be terminated on December 31, 2022.","12/31/2022","Economic","----","DC37 Local 205","Plant Closing Sheltering Arms Children Family Services sites: 500 Bergen Avenue, Bronx, NY 10455 (6 employees affected) 528 East 146th Street, Bronx, NY 10455 (13 employees affected) 669 Lenox Avenue, New York, NY 10037 (23 employees affected) 111-12 Northern Blvd., Queens, NY 11368 (16 employees affected) 565 Morris Avenue, Bronx, NY 10451(32 employees affected) 4439 Third Avenue, Bronx, NY 10457 (15 employees affected)"
"2022-09-30","September 30, 2022","September 2022",NA,"2022-0032","Stuart Goldberg","Plant Closing","Exodus Transitional Community","Multiple New York City locations","Queens, Kings, New York |Wdb Name: New York City | Region: New York City","Queens, Kings, New York","New York City","New York City","Tomasina Salcedo, CBCS, Director of Executive Administration","(917) 492-0990 Ext: 103","Hotels (except Casino Hotels) and Motels","120",120,0,"120",120,0,"Separations for approximately 120 total employees will be affected at multiple locations in New York City beginning October 2022 through December 31, 2022.","12/31/2022","Economic","31-1731465","The employees are not represented by a union.","Plant Closing Exodus Transitional Community sites: The Wolcott, 4 West 31st St., NY, NY 10001 (19 employees affected) Exodus Transitional Community, Inc., 2271 Third Avenue, New York, NY 10035 (19 employees affected) Holiday Inn Express, LGA, 113-10 Horace Harding Expressway, Corona, NY 11368 (17 employees affected Wyndham Gardens, 61-27 186th St., Fresh Meadows, NY 11365 (18 employees affected The Tillary, 85 Flat bush Extension, Brooklyn, NY 1120 (13 employees affected) Howard Johnson, 38-59 12th St., Queens, NY 11101 (15 employees affected) Fairfield Inn & Suites, 29-27 40th Road, Long Island City, NY 11101 (19 employees affected) The Duffield, 60 Duffield Street, Brooklyn, NY 11201 (No employees affected)"
"2022-09-30","September 30, 2022","September 2022",NA,"2022-0030","Staurt Goldberg","Plant Closing","Mermaid 88 LLC d/b/a The Mermaid Inn","570 Amsterdam Ave","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Susie Chester, Controller, Mermaid Holding Company","(212) 799-2666","Hotel","85",85,85,"85",85,0,"Separations for 85 employees was scheduled to occur on October 16, 2022.","10/16/2022","Sale of Building to new owner","14-2004151","The employees are not represented by a union.","Plant Closing"
"2022-09-30","September 30, 2022","September 2022",NA,"2022-0031","Frederick Danks","Plant Closing","D.V.V.A. Carle Place Restaurant LLC d/b/a Chateau Briand","440 Old Coutry Road","Nassau |Wdb Name: Hempstead | Region: Long Island","Nassau","Hempstead","Long Island","Victor Scotto, General Manager","(516) 334-6125","Restaurant","112",112,112,"112",112,0,"Separations for 112 employees will occur on December 31, 2022 and the restaurant will permanently close thereafter.","12/31/2022","Economic","----","The employees are not represented by a union.","Plant Closing"
"2022-10-01","October 1, 2022","October 2022",NA,"2022-0033","Stuart Goldberg","Plant Layoff","Dylan’s Candy Bar","20 Times Square","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Evelin Blanco, VP of HR","(212) 620-2701","Retail -Confectionary","58",58,58,"58",58,0,"Effective date of transfer of the 58 affected employees associated with the retail operations conducted at the Time Square location are expected to occur on December 31, 2022. MarketSource has made offers of employment, effective January 1, 2023, to all affected employees.","----","Contract termination- Transfer of contract from Dylan’s Candy Bar to MarketSource","13-4153081","The employees are not represented by a union.","Plant Layoff"
"2022-09-29","September 29, 2022","September 2022",NA,"2022-0028","Amy Riter","Plant Layoff","ImmunityBio, Inc.","3805 Lake Shore Drive East","Chautauqua |Wdb Name: Chautauqua | Region: Western Region","Chautauqua","Chautauqua","Western Region","Emily Arison, Senior Vice President Human Resources","(310) 351-3284","Biotechnology company","38",38,38,"38",38,0,"The facility will be placing 38 employees on inactive status effective 9/29/2022 and terminating employment as of 12/28/2022.","----","Economic","----","The employees are not represented by a union.","Plant Layoff"
"2022-09-29","September 29, 2022","September 2022","Amended: 10/7/2022","2022-0026 and 2022-0027","Jason Kirchhoff and Susan Gallagher","Plant Layoff","Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC,","","Wyoming |Wdb Name: Glow | Region: Finger Lakes Region County: Chemung |Wdb Name: Css | Region: Southern Region","Wyoming","Glow","Finger Lakes Region County: Chemung |WDB Name: CSS | Region: Southern Region","Julia Pfirrman, Senior Director, and Human Resources Business Partner","(513) 605-7400","Provides services to government clients and consumers with expertise in debt recovery","332 (total employees affected at all sites)",332,332,"Arcade = 287 employees; Horseheads = 247 employees; Perry = 389 employees",NA,NA,"Separations for an additional two (2) employees will occur on the 14-day period starting on January 9, 2023.","----","Economic","Navient B.P.O., LLC 85-1187899; Pioneer Credit Recovery, Inc 30-0002602; APG 26- 1814840; Navient Solutions, LLC 54-1843973; Gila LLC 74-2605908","The employees are not represented by a union.","Plant Layoff Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC sites: 2022-0026: Finger Lakes Region 26 Edward Street, Arcade , NY 14009 (105 employees affected) 20 Parker Lane, Perry, NY 14530 (123 employees affected) 2022-0027: Southern Region 325 Daniel Zenker Drive, Horseheads, NY 14845 (102 employees affected)"
"2022-09-28","September 28, 2022","September 2022",NA,"2022-0025","Frederick Danks","Plant Closing","Amneal Pharmaceuticals, LLC","75 Adams Avenue","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Douglas Wallace, VP, Manufacturing - Regional Operations","(631) 219-9501","Pharmaceutical company","13",13,13,"89",89,76,"The business will be permanently closing affecting 13 employees on or about December 31, 2022. The remaining 76 employees are expected to continue to work through March 2023.","The business will be restructuring operations of its Hauppauge facility and will be closing the location in March of 2023.","Economic","26-2478140","The employees are not represented by a union.","Plant Closing"
"2022-09-28","September 28, 2022","September 2022",NA,"2022-0024","Elias Flores","Plant Layoff","GlobalFoundries U.S. 2 LLC","(East Fishkill 300mm Fab)","Dutchess |Wdb Name: Dutchess/Putnam | Region: Mid-Hudson Region","Dutchess","Dutchess/Putnam","Mid-Hudson Region","Colin Mahon, Sr. Director HR Project Management","(845) 235-5136","Semiconductor and Related Device Manufacturing","1,056",1056,1056,"1,056",1056,0,"Separations of the affected employees associated with the manufacturing operations conducted at the East Fishkill Facility are expected to occur on December 31, 2022. ON Semiconductor Corporation has made offers of employment, effective January 1, 2023, to all affected employees.","----","Sale of business to ON Semiconductor Corporation","47-3796721","The employees are not represented by a union.","Plant Layoff"
"2022-09-22","September 22, 2022","September 2022",NA,"2022-0023","Paula Yerdon","Plant Closing","The First Republic Corporation of America DBA Ramada by Wyndham","441 Electronics Parkway","Onondaga |Wdb Name: Onondaga | Region: Central Region","Onondaga","Onondaga","Central Region","James M. Gallagher, Authorized Agent","(315) 898-6081","Hotel","123",123,123,"123",123,0,"The business will be permanently closing on or about December 22, 2022.","12/22/2022","Property being sold","13-1938454","UNITE HERE Local 150","Plant Closing"
"2022-09-18","September 18, 2022","September 2022",NA,"2022-0022","Stuart Goldberg","Plant Closing","Mercer Kitchen LLC dba Mercer Kitchen (Jean-Georges Management)","99 Prince Street","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Norlenda Villegas, Director of Human Resources","212-358-1365 ext. 103","Restaurant","137",137,137,"137",137,0,"Separations will occur during the 14-day period starting on 12/18/2022.","12/18/2022","Economic","13-3929581","The employees are not represented by a union.","Plant Closing"
"2022-09-19","September 19, 2022","September 2022",NA,"2022-0021","Amy Riter","Plant Layoff","Wells Enterprises, Inc. (Dunkirk Ice Cream Plant)","1 Ice Cream Drive","Chautauqua |Wdb Name: Chautauqua | Region: Western Region","Chautauqua","Chautauqua","Western Region","Patricia Bonnes, Human Resources Business Partner","(716) 317-5423","Ice Cream and frozen desert manufacturer","319",319,0,"643",643,324,"Separation of employees will begin on 12/31/2022, or the 14-day period commencing on that date.","----","Economic","42-1080796","Teamsters Local 264, Affiliate of the International Brotherhood of Teamsters","Plant Layoff"
"2022-09-16","September 16, 2022","September 2022",NA,"2022-0020","Stuart Goldberg","Plant Closing","IKE Logistics LLC","1300 Viele Avenue","Bronx |Wdb Name: New York City | Region: New York City","Bronx","New York City","New York City","Melissa Ochlan, Owner","(646) 423-2781","Cargo transportation company","155",155,155,"155",155,0,"Separations will begin on 12/15/2022.","12/15/2022","Termination of IKE Logistics LLC’s Delivery Services Partner Program Agreement with Amazon Logistics","84-2546113","The employees are not represented by a union.","Plant Closing"
"2022-09-16","September 16, 2022","September 2022",NA,"2022-0019","Amy Riter","Plant Closing","Sanzo Beverage Company, Inc.","3165 Route 16 N.","Cattaraugus |Wdb Name: All/Cat | Region: Western Region","Cattaraugus","All/Cat","Western Region","Christopher Sanzo, CEO/EAM","(716) 372-0330","Beer, Wine & Distilled Alcoholic Beverage Merchant Wholesaler","48",48,48,"48",48,0,"Separations are expected to occur on 11/14/2022.","11/14/2022","Sale of the company’s assets","16-0979390","Teamsters Local 264","Plant Closing"
"2022-09-15","September 15, 2022","September 2022",NA,"2022-0018","Stuart Goldberg","Plant Closing","Wild Ink, Restaurant dba Hudson Yards by Rhubarb LLC","500 W 33rd Street","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Rajan Lai, Director of Human Resources, USA","(203) 514-8890","Restaurant","89",89,89,"89",89,0,"Separations will occur on or within a 14-day period of 12/17/2022.","12/17/2022","Due to lease agreement being acquired by another owner","38-4049005","The employees are not represented by a union.","Plant Closing"
"2022-08-31","August 31, 2022","August 2022",NA,"2022-0017","Stuart Goldberg","Plant Layoff","Medly Health Inc. (Headquarters & Pharmacy)","31 Debevoise Street","Kings |Wdb Name: New York City | Region: New York City","Kings","New York City","New York City","Nathaniel Dudley, Chief Legal Officer","(781) 856-1974","Pharmacy","110 (Headquarters: 45 affected employees; Pharmacy: 65 affected employees)",110,0,"231",231,121,"8/31/2022","----","Economic","11-3394606","The employees are not represented by a union.","Plant Layoff"
"2022-07-29","July 29, 2022","July 2022","Amendment: 9/1/2022","2022-0007","Frederick Danks","Plant Closing","RoundPoint Mortgage Servicing Corporation","175 Pinelawn Road, Suite 400","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Zenobia Littlejohn, VP, Human Resources","(856) 380-9628","Non-bank mortgage lending and servicing company","74",74,74,"74",74,0,"The business will be permanently closing affecting 74 employees. Separations will begin on October 27, 2022 or the 14-day period commencing on that date.","10/27/2022","Economic","26-1193089","The employees are not represented by a union.","Plant Closing"
"2022-08-23","August 23, 2022","August 2022",NA,"2022-0016","Paula Yerdon","Plant Closing","Voyant Beauty LLC","","Cortland |Wdb Name: Cayuga/Cort | Region: Central Region","Cortland","Cayuga/Cort","Central Region","Jennifer Coleman, Employee and Community Relations Manager","(607) 218-1971","Supplies plastic bottles for the Voyant product line","320 (total affected at both sites)",320,0,"320",320,0,"Separations will occur in phases with the first phase commencing on or around a 14-day window beginning on 8/26/2022.","12/31/2022","Economic","00-3926223","The employees are not represented by a union.","Plant Closing"
"2022-08-24","August 24, 2022","August 2022",NA,"2022-0015","Stuart Goldberg","Plant Closing","Key Food CS 2 LLC, dba Food Universe","35-09 Francis Lewis Boulevard","Queens |Wdb Name: New York City | Region: New York City","Queens","New York City","New York City","Kathryn Berliner, Human Resource and Retail Operations Manager","(848) 202-7460","Retail food store","54",54,54,"54",54,0,"11/23/2022","11/23/2022","Due to a sale transaction","47-5283159","UFCW Local 338 & Local 342","Plant Closing"
"2022-08-24","August 24, 2022","August 2022",NA,"2022-0014","Paula Yerdon","Plant Layoff","Stafkings of Binghamton Inc. (at 2 Voyant Beauty LLC sites in Cortland)","","Cortland |Wdb Name: Cayuga/Cort | Region: Central Region","Cortland","Cayuga/Cort","Central Region","Tami Rowe, General Manager (Stafkings Personnel Systems)","(315) 234-1029","Staffing vendor of temporary personnel to Voyant Beauty LLC","110 (37 Huntington Street – 42 affected employees); (106 Central Avenue – 68 affected employees)",110,110,"110 (total affected at both sites)",110,0,"Separations will begin on 9/30/2022 for the 3rd shift Central Avenue site and run through 11/23/2022 for both sites. Separation dates may be extended based on business needs.","Voyant Beauty LLC will be permanently closing both sites by the end of the year 2022.","Due to the closing of both Voyant Beauty LLC sites","16-0958156","The employees are not represented by a union.","Plant Layoff"
"2022-08-22","August 22, 2022","August 2022",NA,"2022-0013","Stuart Goldberg","Plant Closing","Packable Holdings, LLC (Pharmapacks, LLC)","One Penn Plaza, Suite 4125","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Leanna Bautista, Chief People Officer","(929) 201-1753","Multi-marketplace e-commerce enablement platform","25",25,25,"25",25,0,"Separations for 22 employees occurred on 8/22/2022 and remaining separations will occur on 1/8/2023.","1/8/2023","Economic - as a result of the Company’s inability to secure financing to continue the Company’s business.","27-0896676","The employees are not represented by a union.","Plant Closing"
"2022-08-22","August 22, 2022","August 2022",NA,"2022-0012","Frederick Danks","Plant Closing","Packable Holdings, LLC (Pharmapacks, LLC)","Multiple Long Island locations","Nassau, Suffolk |Wdb Name: Hempstead, Suffolk | Region: Long Island","Nassau, Suffolk","Hempstead, Suffolk","Long Island","Leanna Bautista, Chief People Officer","(929) 201-1753","Multi-marketplace e-commerce enablement platform","456 (total affected employees at all sites)",456,456,"456",456,0,"Separations for 23 employees in Hauppauge occurred on 8/22/2022 and remaining separations will continue in waves up until 12/18/2022. Separations for 2 employees in Edgewood occurred on 8/22/2022 and remaining separations will continue in waves up until 1/8/2023. Separations for 66 employees in New Hyde Park occurred on 8/22/2022 and remaining separations will continue in waves up until 1/8/2023.","1/8/2023","Economic - as a result of the Company’s inability to secure financing to continue the Company’s business.","27-0896676","The employees are not represented by a union.","Plant Closing Packable Holdings, LLC (Pharmapacks, LLC) Long Island sites: 1516 Motor Parkway, Hauppauge, New York 11749 (202 affected employees) 80 Wilshire Blvd, Edgewood, NY 11717 (155 affected employees) 1985 Marcus Ave, New Hyde Park, NY 11042 (99 affected employees)"
"2022-08-11","August 11, 2022","August 2022",NA,"2022-0011","Elias Flores","Plant Layoff/Possible Plant Closing","Ultra Seal Corporation","","Ulster |Wdb Name: Ulster | Region: Mid-Hudson Region","Ulster","Ulster","Mid-Hudson Region","Terry Murphy, Controller","(845) 255-2490 Ext: 109","Medical equipment manufacturer","86",86,86,"86",86,0,"It is expected that permanent layoffs could begin within 90 days (from August 11, 2022 notice date) affecting up to 86 employees.","The business has not yet determined if the sites will be closing.","As a result of findings of an evaluation (FDA mandated) of the company’s compliance with Current Good Manufacturing Practices, a mass layoff is expected to occur at the business impacting three (3) sites.","13-2888109","The employees are not represented by a union.","Plant Layoff/Possible Plant Closing Ultra Seal Corporation sites: 521 Main Street, New Paltz, NY 12561 (71 employees affected) 311 Vineyard Avenue, Highland NY 12528 (14 employees affected) 5 Orchard Drive, Gardiner, NY 12561 (1 employee affected)"
"2022-04-21","April 21, 2022","April 2022","And 5/24/2022","2022-0010","Stuart Goldberg","Plant Layoff","Cable News Network, Inc., CNN America, Inc., WarnerMedia, LLC., Discovery Communications,","","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Faye Barbour, VP & Associate General Counsel","(404) 827-3651","Television network","239",239,239,"239",239,0,"This reduction will result in 239 employee separations beginning on July 20, 2022, or the 14-day period starting on that date and on August 27, 2022, or the 14-day period starting on that date.","-----","As a result of organizational changes, the companies have decided to shut down CNN+, eliminating all CNN+ positions and reduce the levels of current employees who are a part of the companies’ operations.","58-2632304","The employees are not represented by a union.","Plant Layoff"
"2022-08-09","August 9, 2022","August 2022",NA,"2022-0009","Elias Flores","Plant Closing","Garnet Health Doctors","","Orange, Sullivan |Wdb Name: Orange, Sullivan | Region: Mid-Hudson Region","Orange, Sullivan","Orange, Sullivan","Mid-Hudson Region","Lauren Carberry, Administrator, Employee & Labor Relations","845-333-7157","Medical center","29 (employees at all sites)",29,29,"29",29,0,"The following Garnet Health Doctors sites will be closing effective November 9, 2022 affecting a total of 29 employees among all sites.","11/9/2022","Economic","37-1743537","1199 SEIU United HealthCare Workers East","Plant Closing Garnet Health Doctors sites: ORMG OBGYN, 707 East Main Street, Middletown, NY 10940 (17 employees affected) Goshen Rheumatology, 102 Clowes Ave, Goshen, NY 10924 (6 employees affected) ORMG Pediatrics, 707 East Main Street, Middletown, NY 10940 (2 employees affected) CRMC Primary Care Montreign, 38 Concord Road, Monticello, NY 12701 (3 employees affected) CRMCG Physicians OB GYN, 68 Harris Bushville Road, Harris, NY 12742 (1 employee affected)"
"2022-03-31","March 31, 2022","March 2022","Rescission: 8/1/2022","2021-0062","Stuart Goldberg","Plant Closing","Research Foundation of The City University of New York - Resource Navigator Corps (at the","CUNY Graduate School of Public Health & Health Policy)","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Crawford Grell, Associate Director of Human Resource","(917) 843-8321","National health foundation in New York City","75",75,0,"75",75,0,"The business is rescinding their WARN notice dated March 31, 2022. Funding for the Resource Navigator Corps. Project has been renewed from July 1, 2022 through June 30, 2023 affecting 75 employees.","June 30, 2022","Loss of funding","13-1988190","The employees are not represented by a union.","Plant Closing"
"2022-08-01","August 1, 2022","August 2022",NA,"2022-0008","Stuart Goldberg","Plant Closing","Gimme Dat Money, LLC (Desus & Mero Show)","481 8th Ave","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Rebecca Drootin, Line Producer","(201)-747-4738","TV show","73",73,73,"73",73,0,"There will be permanent layoffs of 73 employees beginning on August 15, 2022. Some employees will be retained with the wrap up of the show and their employment will end on November 18, 2022.","11/18/2022","TV hosts Desus Nice and The Kid Mero are in pursuit of separate creative endeavors.","83-2157507",NA,"Plant Closing"
"2022-07-29","July 29, 2022","July 2022",NA,"2022-0007","Frederick Danks","Plant Closing","RoundPoint Mortgage Servicing Corporation","175 Pinelawn Road, Suite 400","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Zenobia Littlejohn, VP, Human Resources","(856) 380-9628","Non-bank mortgage lending and servicing company","71",71,0,"71",71,0,"The business will be permanently closing affecting 71 employees. Separations will begin on October 27, 2022 or the 14-day period commencing on that date.","10/27/2022","Economic","26-1193089","The employees are not represented by a union.","Plant Closing"
"2022-07-29","July 29, 2022","July 2022",NA,"2022-0006","Stuart Goldberg","Plant Layoff","Signify Health, LLC (Episodes of Care Services Operations)","685 3rd Avenue, 2nd Floor","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Brad Crain, Director, Employee Experience","(469) 466-7024","Home-based care management services","92",92,92,"175",175,83,"Separations will begin on 10/1/2022.","----","Discontinuation of its Episodes of Care Services Operation","82-3563982","The employees are not represented by a union.","Plant Layoff"
"2022-07-15","July 15, 2022","July 2022",NA,"2022-0004","Stuart Goldberg","Plant Closing","PMI Global Services Inc. & Philip Morris Global Brands Inc. (collectively PMI)","120 Park Avenue","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Christopher Severson, Head of People and Culture, U.S.","(347) 891-0366","Tobacco company","99",99,99,"99",99,0,"The business will be permanently relocating certain operations to a new location in Stamford, Connecticut (approximately 37 miles away) effective on or about 10/31/2022 affecting 99 employees. A total of 13 employees will be permanently separated between 5/31/2022 and 2/28/2023, and the remaining 86 employees will be offered continued employment in the new Connecticut office. Those employees who elected not to work in Stamford will be separated between 5/31/2022 and 7/28/2023.","10/31/2022","Relocation to Stamford, Connecticut","03-0494952","The employees are not represented by a union.","Plant Closing"
"2022-07-14","July 14, 2022","July 2022",NA,"2022-0005","John Hetfield","Plant Closing","Prevost Car (US) Inc.","260 Banker Road","Clinton |Wdb Name: C-E-F-H | Region: North Country Region","Clinton","C-E-F-H","North Country Region","Robert Wells, HR Business Partner","(817) 291-4793:","Manufacturer specialized in touring coaches and bus shells for high-end motorhomes and specialty conversions.","53",53,53,"53",53,0,"The business will be ending production for The Buy America Act market/customer. Permanent separations affecting 53 employees will occur between October 15, 2022 and February 28, 2023.","2/28/2023","A business plan change and reorganization","14-1768147","The employees are not represented by a union.","Plant Closing"
"2022-07-15","July 15, 2022","July 2022",NA,"2022-0003","Stuart Goldberg","Plant Closing","Central Park Boat House, LLC","Park Drive North, E 72nd St","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Dean J. Poll, President","(212) 586-5000","American restaurant","163",163,163,"163",163,0,"Due to rising labor and costs of goods, the business will be permanently closing effective 10/16/2022 affecting a total of 163 employees.","10/16/2022","Economic","06-1585011","New York Hotel and Motel Trades Council, AFL-CIO","Plant Closing"
"2022-07-12","July 12, 2022","July 2022",NA,"2022-0002","Stuart Goldberg","Plant Layoff","Freshly, Inc.","115 E. 23rd Street, Floor 7","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Kelsey Comstock, Director of Public Relations","(617) 721-6531","Prepared meal delivery company","48",48,48,"190",190,142,"The business will be permanently separating 48 employees assigned to the 115 E. 23rd Street site effective October 10, 2022.","----","Restructuring the organization","46-3173351","The employees are not represented by a union.","Plant Layoff"
"2022-07-06","July 6, 2022","July 2022",NA,"2022-0001","Stuart Goldberg","Plant Closing","The Stewart Hotel","371 7th Avenue","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Xerxes Cursetji, General Manager","(646) 733-2905","Hotel","158",158,158,"158",158,0,"10/7/2022","10/7/2022","Will be converted to residential housing","81-4319270","New York Hotel & Motel Trades Council, AFL-CIO affiliated with UNITE HERE","Plant Closing"
"2022-06-30","June 30, 2022","June 2022",NA,"2021-0089","John Hetfield","Temporary Plant Layoff","AQ Wiring Systems NY, Inc.","18 Northern Ave., Suite 100","Clinton |Wdb Name: C-E-F-H | Region: North Country Region","Clinton","C-E-F-H","North Country Region","Kristen Siskavich, HR Manager","(518) 324-4800 Ext: 103","Manufacturer specialized in the fabrication and assembly of low voltage electrical wire harnesses.","58",58,58,"77",77,19,"7/7/2022","----","As a result of the economic impact of the Nova Bus strike in Canada, the business will be temporarily separating 58 employees on July 7, 2022. At this time, the length of this period of disruption is unknown.","98-0058750","The employees are not represented by a union.","Temporary Plant Layoff"
"2022-06-21","June 21, 2022","June 2022",NA,"2021-0088","Michael Clark","Plant Closing","Sodexo, Inc. (at SUNY Polytechnic Institute)","100 Seymour Rd,","Oneida |Wdb Name: Hmo | Region: Mohawk Valley Region","Oneida","Hmo","Mohawk Valley Region","Curtis Stancil, HR Business Partner Director University Segment Northeast Region","(860) 546-6547","Dining services","63",63,63,"63",63,0,"The business will be permanently closing effective June 30, 2022. Separations for frontline employees will occur on or about June 30, 2022 and on July 28, 2022 for Management.","6/30/2022","This closing is due to the termination by SUNY Polytechnic Institute of Sodexo’s contract to perform dining services.","52-2282038","Civil Service Employees Association","Plant Closing"
"2022-06-28","June 28, 2022","June 2022",NA,"2021-0087","Amy Riter","Plant Closing","PharMerica Corporation (Pharmacy)","2355 Union Road, Suite 200","Erie |Wdb Name: Erie | Region: Western Region","Erie","Erie","Western Region","Melissa Phagooram, HR Generalist","(516) 536-0800 Ext: 887693","Pharmacy","36",36,36,"36",36,0,"The business will be permanently closing their pharmacy affecting 36 employees. Separations will begin on 9/30/2022, or the 14-day period starting on that date.","9/30/2022","Economic","95-3849613","The employees are not represented by a union.","Plant Closing"
"2022-06-24","June 24, 2022","June 2022",NA,"2021-0086","Frederick Danks","Plant Closing","VSP Optical Group, Inc. (VSPOne)","35 Hub Drive, Suite 100","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Lauren White, HR Manager","(916) 851-4488","Unified network of optical laboratories","20",20,20,"20",20,0,"Separations affecting 20 employees will occur on 9/29/2022 (19) and on 11/1/2022 (1).","7/29/2022","To increase the efficiency of the company's manufacturing business","27-0621143","The employees are not represented by a union.","Plant Closing"
