date_of_notice,card_date,month_year,date_of_notice_additional_info,event_number,rapid_response_specialist,reason_stated_for_filing,company,address,location,county,wdb_name,region,contact,phone,business_type,number_affected,raw_number_affected,rescission_amend,total_employees,raw_total_employees,not_affected,layoff_date,closing_date,reason_for_dislocation,fein_num,union,classification_and_additional_info
3/1/21,1-Mar-21,Mar-21,Amendment: 9/22/2021,2020-0427,Elias Flores,Plant Closing (1st Phase),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,127,127,127,The college currently has approximately 300 employees on site.,NA,NA,Two (2) employees that were previously identified as being separated during the 14-day period starting on 8/31/2021 and 9/30/2021 will have their anticipated separation date extended to a 14-day period starting on 9/30/2021 (1) and 1/31/2022 (1).,The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (1st Phase)
9/28/21,28-Sep-21,Sep-21,NA,2021-0022,Michele Taylor,Plant Closing,"Transportation Insight, LLC (Phase 2)",5251 Shawnee Road,Niagara |Wdb Name: Niagara | Region: Western Region,Niagara,Niagara,Western Region,"Bryan Rueger, VP People & Talent",(828) 485-5237,Provides logistics and transportation services,6,6,0,45,45,39,The second phase of separations are expected to occur on or around 1/1/2022 and will affect six (6) employees.,The full closure of the office is expected to be completed in January 2022.,Business acquisition and consolidation of operations,56-2197884,The employees are not represented by a union.,Plant Closing
9/23/21,23-Sep-21,Sep-21,NA,2021-0021,Elias Flores,Plant Layoff,Crown Building Maintenance Co. d/b/a Able Building Maintenance at LEGOLAND New York,1 Legoland Boulevard,Orange |Wdb Name: Orange | Region: Mid-Hudson Region,Orange,Orange,Mid-Hudson Region,"Dawn R. Short, Senior Human Resources Business Partner",(646) 998-7511,Performs maintenance/housekeeping services,109,109,109,----,NA,NA,"Separations for 109 employees will occur on December 23, 2021. The layoffs at LEGOLAND are expected to be permanent.",----,Economic,94-1500734,The employees are not represented by a union.,Plant Layoff
9/23/21,23-Sep-21,Sep-21,NA,2021-0018,"Melissa Baretsky, Jacqueline Huertas",Plant Closing,"LC Drives, Inc.",67 Main Street,St. Lawrence |Wdb Name: St Lawrence | Region: North Country Region Saratoga |Wdb Name: Saratoga | Region: Capital Region,St. Lawrence,St Lawrence,North Country Region Saratoga |WDB Name: SARATOGA | Region: Capital Region,Koch Engineered Solutions,(316) 828-8515,Manufacturer of custom configured electric motors and generators,104 (both sites),104,104,104,104,0,8/30/21,8/30/21,Economic,45-4205550,The employees are not represented by a union.,"Plant Closing Other impacted LC Drives, Inc. site: 2021-0019: 107 Hermes Road, Suite 215, Malta, NY 12020"
4/8/20,8-Apr-20,Apr-20,Amendment: 9/16/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,331,331,331,346,346,15,Additional permanent separations affecting six (6) employees occurred between 8/6/2021 and 8/25/2021. Separations began on or about 4/8/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
9/14/21,14-Sep-21,Sep-21,NA,2021-0017,Stuart Goldberg,Plant Closing,Transform KM LLC (Unit# 04731 Kmart Convenience store inside Sears),2307 Beverley Rd.,Kings |Wdb Name: New York City | Region: New York City,Kings,New York City,New York City,"Crystal Cash, Market HR Leader",(706) 537-9876,Retail Store,3,3,3,3,3,0,"The Kmart convenience store located inside the Sears retail store will be closing affecting three (3) employees. Separations for all affected employees will occur on 12/13/2021, or during a 14-day period starting on that date.",12/13/21,Economic,35-2650557,The employees are not represented by a union.,Plant Closing
9/14/21,14-Sep-21,Sep-21,NA,2021-0016,Stuart Goldberg,Plant Closing,Transform SR LLC (Unit# 01114 Sears Retail Store and Unit# 06104 Sears Automotive Ctr),2307 Beverley Rd.,Kings |Wdb Name: New York City | Region: New York City,Kings,New York City,New York City,"Crystal Cash, Market HR Leader",(706) 537-9876,Retail Store and Automotive shop,61,61,61,61,61,0,"The business will be permanently closing the Sears retail store and automotive Center affecting 47 and 14 employees respectively. Separations for all affected employees will occur on 12/13/2021, or during a 14-day period starting on that date.",12/13/21,Economic,35-2650557,The employees are not represented by a union.,Plant Closing
9/8/21,8-Sep-21,Sep-21,NA,2021-0015,Melissa Baretsky,Plant Unit Closing,ACCO Brands USA LLC,Canadian Warehouse Operations,St. Lawrence |Wdb Name: St Lawrence | Region: North Country Region,St. Lawrence,St Lawrence,North Country Region,"Michael Donnelly, Human Resources",(315) 605-3195,Warehouse Operations,32,32,0,71,71,39,"Separations for 32 employees will occur beginning on September 27, 2021, and will terminate between December 10, 2021, and December 24, 2021 on a permanent basis. The Company will continue to maintain US Warehouse Operations at the facility.","December 10, 2021 and December 24, 2021",Economic,13-2657051,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503",Plant Unit Closing
9/7/21,7-Sep-21,Sep-21,NA,2021-0014,Stuart Goldberg,Plant Layoff,"A.B.C. Home Furnishings, Inc. (3 NYC sites)",,"Kings, New York |Wdb Name: New York City | Region: New York City","Kings, New York",New York City,New York City,"Aaron Rose, CEO",(212) 473-3000,Home goods store,62 (total affected at three sites),62,0,128,128,66,"Separations of 62 employees at three (3) sites effective 9/8/2021. In addition, pending sale of the business, up to an additional 66 employees may be separated.",----,Due to the economic impact stemmed by the unforeseeable business circumstances of the COVID-19 pandemic.,13-3276915,The employees are not represented by a union.,"Plant Layoff A.B.C. Home Furnishings, Inc. sites: 888 Broadway, New York, NY 10033 (119 total employees, with 57 employees affected for separation on September 8, 2021) Suite 19-3-AS, 3rd FL Building 19, Industry City, Brooklyn, NY 11232 (5 total employees, with 4 employees affected for separation on September 8, 2021) 220 36th Street Industry City, Brooklyn, NY 11232, NY 10033 (4 total employees, with one employee affected for separation on September 8, 2021)"
9/7/21,7-Sep-21,Sep-21,NA,2021-0013,Stuart Goldberg,Plant Layoff,"A.B.C. Carpet Co., Inc. (3 NYC sites)",,"Kings, New York, Queens |Wdb Name: New York City | Region: New York City","Kings, New York, Queens",New York City,New York City,"Aaron Rose, CEO",(212) 473-3000,Home goods store,12 (total affected at two sites),12,0,92,92,80,"Separations for 12 employees at two (2) sites effective 9/8/2021. In addition, pending sale of the business, up to an additional 80 employees may be separated also impacting a third site.",----,Due to the economic impact stemmed by the unforeseeable business circumstances of the COVID-19 pandemic.,13-1956537,"Local 810, IBT. The 12 employees affected are not represented by a union.","Plant Layoff A.B.C. Carpet Co., Inc. sites: 888 Broadway, New York, NY 10033 (67 total employees, with 10 employees affected for separation on September 8, 2021) 14-08 28th Avenue, Long Island City, NY 11102 (14 total employees, with 2 employees affected for separation on September 8, 2021) 220 36th Street Industry City, Brooklyn, NY 11232, NY 10033 (11 total employees, with no employees affected for separation on September 8, 2021)"
8/18/21,18-Aug-21,Aug-21,And 8/26/2021 Amendment: 8/18/2021 Through 8/26/2021,2021-0009,Stuart Goldberg,Plant Closing,"Aclara Smart Grid Solutions, LLC",1970 Pitkin Ave,"Kings, Bronx |Wdb Name: New York City | Region: New York City","Kings, Bronx",New York City,New York City,"Bette Jacques, Director of Human Resources",(603) 749-8224,Utilities management,564 (total employees at both sites),564,564,564,564,0,"The business will be separating an additional 12 employees due to the permanent cessation of operations related to services the company provides a client from its two (2) facilities (one located in Brooklyn and one located in the Bronx). These individuals received conditional notice that they may be transferred to one of the impacted sites and, if they are, their employment would end within 90 days of the date of their letter (dated between 8/18/2021 and 8/26/2021). If those individuals transfer to one of the impacted sites, it is expected their employment would end within the period from 12/6/2021 through 12/8/2021.",11/24/21,Completion of stand-alone project,35-2547202,"Communications Workers of America (""CWA""), Local 1109",Plant Closing
11/11/20,11-Nov-20,Nov-20,Amendment: 9/2/2021,2020-0358,Paula Yerdon,Plant Closing,"BCS Automotive Interface Solutions U.S., LLC","2150 Cranebrook Drive, Auburn, NY 13021",Cayuga |Wdb Name: Cayuga/Cort | Region: Central Region,Cayuga,Cayuga/Cort,Central Region,"Ana Rolbiecki, HR Manager",(507) 494-2729 and (608) 582-7179,Supplying vehicle manufacturers globally,28,28,28,28,28,0,"A total of 28 remaining employee layoffs are being extended from staggered dates through 9/10/2021 to most being separated by 10/16/2021, and with full closure of the business by 10/31/2021.",10/31/21,"Economic - transferring products/production lines to their Winona, Minnesota and Reynosa, Mexico facilities.",82-4699941,"National ICWU International Representative Frank Cyphers, ICWU Local 192-C President Terri Alcock, ICWU Unit Chair/Chief Steward Gerry Setley",Plant Closing
4/8/20,8-Apr-20,Apr-20,Amendment: 9/2/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,325,325,325,342,342,17,"Seven (7) additional employees were permanently separated on 8/6/2021 (2), 8/11/2021 (1), 8/12/2021 (1), 8/13/2021 (1), 8/17/2021 (1) and 8/31/2021 (1). Separations began on or about 4/8/2020.",-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
6/5/20,5-Jun-20,Jun-20,Amendment: 8/31/2021,2019-1768,Stuart Goldberg,Plant Unit Closing,Cantor Fitzgerald Securities (Operations Division),55 Water Street,New York | Wdb Name: New York City | Region: New York City,NA,New York City,New York City,"Ms. Patricia Dreste, Managing Director, Head of Human Resources",(212) 610-2254,Commodity Contracts Brokerage,1,1,1,1,1,0,Separation for the remaining employee on site will be extended from 8/31/2021 to 10/31/2021.,31-Dec-20,Company is relocating to an out-of-state location.,13-3680187,The employees are not represented by a union.,Plant Unit Closing
8/30/21,30-Aug-21,Aug-21,NA,2021-0012,Elias Flores,Plant Closing (6th Phase),Concordia College (Phase 6),171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,5,5,0,----,NA,NA,"A final sixth phase of separations affecting five (5) employees will occur during the 14-day period starting on 11/30/2021 (1), 12/31/2021 (2), and 6/30/2022 (2).",The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (6th Phase)
5/24/21,24-May-21,May-21,Amendment: 8/30/2021,2020-0472,Elias Flores,Plant Closing (4th Phase),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,97,97,97,----,NA,NA,"Ten (10) employees that were previously identified as being separated during the 14-day period staring on 8/31/2021, will have their anticipated separation date extended to a 14-day period starting on 9/30/2021 (2), 10/15/2021 (6), and 10/31/2021 (2).",The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (4th Phase)
11/11/20,11-Nov-20,Nov-20,Amendment: 8/20/2021 And 8/27/2021,2020-0358,Paula Yerdon,Plant Closing,"BCS Automotive Interface Solutions U.S., LLC",2150 Cranebrook Drive,Cayuga |Wdb Name: Cayuga/Cort | Region: Central Region,Cayuga,Cayuga/Cort,Central Region,"Ana Rolbiecki, HR Manager",(507) 494-2729 and (608) 582-7179,Supplying vehicle manufacturers globally,64,64,64,64,64,0,"Separations for 64 remaining employees will occur in phases. A total of 29 employee layoffs are being extended from 8/20/2021 through 8/31/2021 to staggered dates through 9/10/2021, and with full closure of the business by 9/17/2021.",9/17/21,"Economic - transferring products/production lines to their Winona, Minnesota and Reynosa, Mexico facilities.",82-4699941,"National ICWU International Representative Frank Cyphers, ICWU Local 192-C President Terri Alcock, ICWU Unit Chair/Chief Steward Gerry Setley",Plant Closing
8/18/21,18-Aug-21,Aug-21,And 8/26/2021,2021-0009,Stuart Goldberg,Plant Closing,"Aclara Smart Grid Solutions, LLC",1970 Pitkin Ave,"Kings, Bronx |Wdb Name: New York City | Region: New York City","Kings, Bronx",New York City,New York City,"Bette Jacques, Director of Human Resources",(603) 749-8224,Utilities management,552 (total employees at both sites),552,0,552,552,0,The business will be separating 552 employees due to the permanent cessation of operations related to services the company provides a client from its two (2) facilities (one located in Brooklyn and one located in the Bronx). Separations are expected to occur during the 14-day period starting on 11/24/2021.,11/24/21,Economic,35-2547202,"Communications Workers of America (""CWA""), Local 1109",Plant Closing
8/23/21,23-Aug-21,Aug-21,NA,2021-0011,Frederick Danks,Plant Closing,"Creative Bath Products, Inc.",250 Creative Drive,Suffolk |Wdb Name: Suffolk | Region: Long Island,Suffolk,Suffolk,Long Island,"Bob Weiss, Chief Operating Officer",(631) 582-8000 Ext: 382,Bathroom supply store,54,54,54,54,54,0,"Separations for 54 employees will occur on November 22, 2021.",22-Nov-21,Sale of Business,11-2303465,The employees are not represented by a union.,Plant Closing
8/23/21,23-Aug-21,Aug-21,NA,2021-0010,Frederick Danks,Plant Closing,M & M Molding Corp.,250 Creative Drive,Suffolk |Wdb Name: Suffolk | Region: Long Island,Suffolk,Suffolk,Long Island,"Bob Weiss, Chief Operating Officer",(631) 582-8000 Ext: 382,Plastic fabrication company,39,39,39,39,39,0,"Separations for 39 employees will occur on November 22, 2021.",22-Nov-21,Sale of Business,11-2303465,The employees are not represented by a union.,Plant Closing
4/8/20,8-Apr-20,Apr-20,Amendment: 8/22/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,318,318,318,342,342,24,"Nine (9) additional employees were permanently separated on 7/2/2021 (1), 7/14/2021 (1), 7/15/2021 (1), 7/23/2021 (1) 7/30/2021 (3) and 7/31/2021 (2). Separations began on or about 4/8/2020.",-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
8/19/21,19-Aug-21,Aug-21,NA,2021-0008,Michele Taylor,Plant Closing,Occidental Chemical Corporation,4700 Buffalo Ave.,Niagara |Wdb Name: Niagara | Region: Western Region,Niagara,Niagara,Western Region,"Mark Stoebl, Human Resources",(716) 278-7740,Chemical Product Manufacturing,128,128,0,128,128,0,"The business will be permanently closing its Niagara Falls Plant affecting 128 employees. Separations will begin on 11/18/2021, or the 14-day period starting on that date.",11/18/21,Economic,16-0484732,Niagara Hooker Employers Union,Plant Closing
8/18/21,18-Aug-21,Aug-21,NA,2021-0007,Elias Flores,Plant Closing,Renaissance Westchester Hotel,80 West Oak Lane Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Gisela Hichez, Director of Human Resources",(917) 688-0719,Hotel,9,9,9,9,9,0,"Separations will occur 90 days after receipt of notice (dated 8/18/2021). Should the hotel not have work for an affected employee for the entire 90-day period, they will receive the greater of (a) the wages for all days that they work after receiving the notice, or (b) 60 days of pay, as required by the WARN Act.",The Renaissance Westchester Hotel will soon be permanently closing due to the sale of the hotel (date to be determined) affecting 9 employees.,Sale of the Hotel,20-2786342,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE",Plant Closing
8/13/21,13-Aug-21,Aug-21,Amendment: 11/16/2021,2021-0005,Michele Taylor,Plant Closing,"Transportation Insight, LLC (Phase 1)",5251 Shawnee Road,Niagara |Wdb Name: Niagara | Region: Western Region,Niagara,Niagara,Western Region,"Bryan Rueger, VP People & Talent",(828) 485-5237,Provides logistics and transportation services,10,10,10,45,45,35,"All first phase affected employee separations will be postponed from November 12, 2021 to on or around December 3, 2021.",The full closure of the office is expected to be completed in January 2022.,Business acquisition and consolidation of operations.,56-2197884,The employees are not represented by a union.,Plant Closing
5/6/21,6-May-21,May-21,"Amendment: 6/24/2021, 7/6/2021 And 8/5/2021",2020-0470,Frederick Danks,Plant Layoff,Biodex Medical Systems,49 Natcon Rd. & 20 Ramsey Rd.,Suffolk |Wdb Name: Suffolk | Region: Long Island,Suffolk,Suffolk,Long Island,"Elizabeth Ditroia, Human Resource Business Partner",(631) 924-9000 Ext: 2155,Offers advances in nuclear medicine and molecular imaging solutions.,43,43,43,127,127,84,"Separations will begin during the 14-day period starting on 8/6/2021. Separations for seven (7) employees will be extended from the 14-day period starting on 8/6/2021 to the period starting on 8/20/2021 and will run through 12/3/2021. Also, two additional employees will be separated during the 14-day period starting on 9/22/2021.",----,Economic,11-2000906,The employees are not represented by a union.,"Plant Layoff Biodex Medical Systems sites: 49 Natcon Road, Shirley, NY 11967 (14 employees affected) 20 Ramsey Road, Shirley, NY 11967 (29 employees affected)"
6/30/21,30-Jun-21,Jun-21,Amendment: 8/2/2021,2020-0488,Stuart Goldberg,Plant Closing,"Jewish Board of Family & Children’s Services, Inc.",Ittleson Residential Treatment Facility,Bronx |Wdb Name: New York City | Region: New York City,Bronx,New York City,New York City,"Germine James, Human Resources Director",(914) 773-7620,Children's Services,52,52,52,----,NA,NA,"Phase 2 separations will occur during the 14-day period starting on October 1, 2021 and will end during the 14-day period starting on October 31, 2021.",To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
6/30/21,30-Jun-21,Jun-21,Amendment: 8/2/2021,2020-0487,Elias Flores,Plant Closing,"Jewish Board of Family & Children's Services, Inc.",The Sally and Anthony Mann Center Residential Treatment Facility,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Germine James, Human Resources Director",(914) 773-7620,Children's services,92 (total employees at both sites),92,92,----,NA,NA,"Phase 2 separations will occur during the 14-day period starting on October 1, 2021 and will end during the 14-day period starting on October 31, 2021.",To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
7/29/21,29-Jul-21,Jul-21,NA,2021-0004,Elias Flores,Plant Unit Closing,Garnet Health Medical Center - Catskills (Skilled Nursing Unit),68 Harris Bushville Rd.,Sullivan |Wdb Name: Sullivan | Region: Mid-Hudson Region,Sullivan,Sullivan,Mid-Hudson Region,"Wendy Vogler, HR Manager for Employee and Labor Relations",845-794-3300 ext. 3373,Health Medical Center,66,66,66,approximately 690,NA,NA,"Separations affecting 66 employees will occur on 10/29/2021. Also, an additional 52 employees have been identified as having the potential to be bumped.",10/29/21,The Center will be permanently closing their Skilled Nursing Unit due to a below than optimal occupancy level.,14-6049030,New York State Nurses Association National Union and SEIU United Health Care Workers East,Plant Unit Closing
5/24/21,24-May-21,May-21,Amendment: 7/28/2021,2020-0472,Elias Flores,Plant Closing (4th Phase),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,97,97,97,----,NA,NA,The separation for one (1) employee will be extended from 8/31/2021 to 9/30/2021.,It is anticipated the complete closure will occur on 8/31/2021.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (4th Phase)
4/29/21,29-Apr-21,Apr-21,Amendment: 7/28/2021,2020-0465,Elias Flores,Plant Closing (3rd Phase),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,8,8,8,The college currently has approximately 300 employees on site.,NA,NA,The separation for two (2) employees’ separation dates will be extended from 7/31/2021 to 9/30/2021.,It is anticipated the complete closure will occur on 8/31/2021.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (3rd Phase)
3/1/21,1-Mar-21,Mar-21,Amendment: 7/28/2021,2020-0427,Elias Flores,Plant Closing (1st Phase),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,127,127,127,The college currently has approximately 300 employees on site.,NA,NA,The separation for one (1) employee will be extended from 7/31/2021 to 8/31/2021.,It is anticipated the complete closure will occur on 8/31/2021.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (1st Phase)
11/11/20,11-Nov-20,Nov-20,Amendment: 7/26/2021,2020-0358,Paula Yerdon,Plant Closing,"BCS Automotive Interface Solutions U.S., LLC",2150 Cranebrook Drive,Cayuga |Wdb Name: Cayuga/Cort | Region: Central Region,Cayuga,Cayuga/Cort,Central Region,"Ana Rolbiecki, HR Manager",(507) 494-2729 and (608) 582-7179,Supplying vehicle manufacturers globally,64,64,64,64,64,0,"Separations for 64 remaining employees will occur in phases. These layoffs are being extended from 6/30/2021 to 8/20/2021, with full closure of the business by 8/31/2021.",8/31/21,"Economic - transferring products/production lines to their Winona, Minnesota and Reynosa, Mexico facilities.",82-4699941,"National ICWU International Representative Frank Cyphers, ICWU Local 192-C President Terri Alcock, ICWU Unit Chair/Chief Steward Gerry Setley",Plant Closing
7/8/21,8-Jul-21,Jul-21,NA,2021-0003,Stuart Goldberg,Temporary Plant Closing,NoMad Hotels LLC,1170 Broadway,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Stephanie Saik, Regional Director, People - East Coast",(202) 790-6511,Hotel,88,88,88,----,NA,NA,Temporary layoffs that began on 4/2/2021 for 88 employees will exceed six months in duration. The hotel will temporarily remain closed due to renovations.,----,Hotel Renovations,41-2268783,"Consolidated Commercial Workers of America, Local 528, Affiliated with NOITU-IUJAT",Temporary Plant Closing
4/8/20,8-Apr-20,Apr-20,Amendment: 7/15/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,305,305,305,337,337,32,One additional employee was permanently separated on 6/30/2021. Separations began on or about 4/8/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
6/5/20,5-Jun-20,Jun-20,Amendment: 7/15/2021,2019-1768,Stuart Goldberg,Plant Unit Closing,Cantor Fitzgerald Securities (Operations Division),55 Water Street,New York | Wdb Name: New York City | Region: New York City,NA,New York City,New York City,"Ms. Patricia Dreste, Managing Director, Head of Human Resources",(212) 610-2254,Commodity Contracts Brokerage,30,30,30,30,30,0,Separation for one employee will be extended from 7/15/2021 to 8/31/2021.,31-Dec-20,Company is relocating to an out-of-state location.,13-3680187,The employees are not represented by a union.,Plant Unit Closing
7/9/21,9-Jul-21,Jul-21,NA,2021-0002,Stuart Goldberg,Temporary Plant Layoff,"HI 57, LLC d/b/a The Watson Hotel",440 West 57th St.,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Joseph Esposito, General Manager",(212) 581-8100,Homeless Shelter,16,16,16,----,NA,NA,The almost immediate cessation of operations under the contract with the City of New York and consequent laying off 16 employees commenced on 7/5/2021 and will be concluded on or about 7/16/2021. The layoffs are expected to be temporary.,----,The City of New York terminated its contract with the hotel to operate a homeless shelter.,13-4034503,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE",Temporary Plant Layoff
6/30/21,30-Jun-21,Jun-21,NA,2020-0488,Stuart Goldberg,Plant Closing,"Jewish Board of Family & Childrens Services, Inc.",Ittleson Residential Treatment Facility,Bronx |Wdb Name: New York City | Region: New York City,Bronx,New York City,New York City,"Germine James, Human Resources Director",(914) 773-7620,Children's Services,50,50,0,----,NA,NA,Phase II separations are expected to occur during the 14-day period starting on 9/28/2021 affecting 50 employees.,To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
6/30/21,30-Jun-21,Jun-21,NA,2020-0487,Elias Flores,Plant Closing,"Jewish Board of Family & Children's Services, Inc.",The Sally and Anthony Mann Center Residential Treatment Facility,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Germine James, Human Resources Director",(914) 773-7620,Children's services,88 (total employees at all sites),88,0,----,NA,NA,Phase II separations are expected to occur during the 14-day period starting on 9/28/2021 affecting 88 employees.,To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
7/29/20,29-Jul-20,Jul-20,Amendment: 7/1/2021,2020-0096,Stuart Goldberg,Plant Layoff/Temporary Plant Layoff,"Flying Food Group, LLC (JFK International Airport)",Building 146,Queens |Wdb Name: New York City | Region: New York City,Queens,New York City,New York City,"Rex Nichols, General Manager",(718) 301-8022,Food services,434,434,434,----,NA,NA,"Permanent separations for 218 employees are expected to occur between 10/1/2021 and 10/14/2021. All of these employees were previously furloughed or terminated between 3/27/2020 and 6/15/2020. These employees were recalled to Flying Food Group’s payroll on 1/20/2021 pursuant to Section 412 of Subtitle A of Title IV of Division N of the Consolidated Appropriations Act, 2021 (PSP Extension Law) effective 12/27/2020 which amended the CARES Act. The business anticipates the PSP funds will be fully spent on or after 10/1/2021.",----,Unforeseeable business circumstances prompted by COVID-19.,38-3972560,RWDSU/UFCW Local 1102,Plant Layoff/Temporary Plant Layoff
11/11/20,11-Nov-20,Nov-20,Amendment: 7/1/2021,2020-0361,Stuart Goldberg,Plant Layoff,"Flying Food Group, LLC (at JFK International Airport)",Building 146,Queens |Wdb Name: New York City | Region: New York City,Queens,New York City,New York City,"Rex Nichols, General Manager",(718) 301-8022,Food services,1,1,1,----,NA,NA,"Permanent separations for one employee is expected to occur between 10/1/2021 and 10/14/2021. All of these employees were previously furloughed or terminated between 3/27/2020 and 6/15/2020. These employees were recalled to Flying Food Group’s payroll on 1/20/2021 pursuant to Section 412 of Subtitle A of Title IV of Division N of the Consolidated Appropriations Act, 2021 (PSP Extension Law) effective 12/27/2020 which amended the CARES Act. The business anticipates the PSP funds will be fully spent on or after 10/1/2021.",----,Unforeseeable business circumstances prompted by COVID-19.,38-3972560,The employees are not represented by a union.,Plant Layoff
7/6/21,6-Jul-21,Jul-21,NA,2021-0001,Vikki Kaufman,Plant Unit Closing,ACHIEVE (CWS Contract Packaging Services),,Chenango |Wdb Name: Cdo | Region: Southern Region,Chenango,Cdo,Southern Region,"Jamie Striley, Chief Human Resources Officer",(607) 352-3373,Contract Packaging Services,28,28,28,----,NA,NA,"The CWS Contract Packaging Services manufacturing unit of ACHIEVE will be closing affecting 28 employees at three sites in Norwich, NY. Separations will begin no sooner than 10/7/2021 and will continue through the closing of the manufacturing unit on approximately 12/31/2021.",12/31/21,Economic,15-0619307,The employees are not represented by a union.,"Plant Unit Closing ACHIEVE (CWS Contract Packaging Services) sites: 95-100 East Main Street, Norwich, NY, 13818 (19 employees affected) 17 Midland Drive, Norwich, NY, 13815 (4 employees affected) 42 Midland Drive, Norwich, NY, 13815 (5 employees affected)"
